partei,username,bundesland
CDU,insidecdu,Andere
CDU,cdu_bw,Andere
CDU,cdubrandenburg,Andere
CDU,cdu.bremen,Andere
CDU,cdu_hamburg,Andere
CDU,cdu_hessen,Andere
CDU,cdurlp,Andere
CDU,cdu.sachsen,Andere
CDU,cdu_thueringen,Andere
CDU,junge_union,Andere
CDU,jungeunionbw,Andere
CDU,ju_bayern,Andere
CDU,juhessen,Andere
CDU,juniedersachsen,Andere
CDU,jungeunionnrw,Andere
CDU,junge_union_saar,Andere
CDU,ju.sachsen,Andere
SPD,deinespd,Andere
SPD,spd_bw,Andere
SPD,spd_hamburg,Andere
SPD,spdniedersachsen,Andere
SPD,nrwspd,Andere
SPD,spd.rheinlandpfalz,Andere
SPD,saarspd,Andere
SPD,spd.schleswigholstein,Andere
SPD,jusos.de,Andere
SPD,jusosbw,Andere
SPD,jusos.bayern,Andere
SPD,jusosbremen,Andere
SPD,jusoshamburg,Andere
SPD,jusoshessen,Andere
SPD,jusos.mv,Andere
SPD,jusos_nds,Andere
SPD,nrwjusos,Andere
SPD,jusos.rlp,Andere
SPD,jusos.saar,Andere
SPD,jusos_th,Andere
FDP,fdp,Andere
FDP,fdp.bayern,Andere
FDP,fdp.hamburg,Andere
FDP,fdpnrw,Andere
FDP,fdprlp,Andere
FDP,fdp.sachsen,Andere
FDP,fdp_schleswigholstein,Andere
FDP,fdpthueringen,Andere
FDP,junge.liberale,Andere
FDP,julis_bw,Andere
FDP,julisbayern,Andere
FDP,julisbrandenburg,Andere
FDP,julis.bremen,Andere
FDP,jungeliberalehh,Andere
FDP,julis.hessen,Andere
FDP,jungeliberalemv,Andere
FDP,julisnrw,Andere
FDP,jungeliberalesaar,Andere
FDP,julis_sh,Andere
LINKE,die.linke,Andere
LINKE,dielinkebw,Andere
LINKE,die_linke_bayern,Andere
LINKE,die_linke_brandenburg,Andere
LINKE,dielinke_bremen,Andere
LINKE,die_linke_hessen,Andere
LINKE,die.linke.hamburg,Andere
LINKE,die.linke.mecklenburg,Andere
LINKE,die.linke.niedersachsen,Andere
LINKE,dielinkenrw,Andere
LINKE,die.linke.rlp,Andere
LINKE,dielinke.sachsen,Andere
LINKE,linke.sh,Andere
LINKE,die_linke_th,Andere
LINKE,linksjugend.solid,Andere
LINKE,linksjugend.bayern,Andere
LINKE,solidberlin,Andere
LINKE,solid_brandenburg,Andere
LINKE,linksjugendsolidbremen,Andere
LINKE,linksjugend.hessen,Andere
LINKE,linkjugend.rlp,Andere
LINKE,linksjugendsolidsachsen,Andere
LINKE,linksjugend_sh,Andere
LINKE,linksjugend_th,Andere
B90/GRÜNE,diegruenen,Andere
B90/GRÜNE,diegruenen_bw,Andere
B90/GRÜNE,gruenebayern,Andere
